area_fips,area_title,total_businesses,total_employees,industry_code,industry_title,disclosure_warning,businesses,total_qtrly_wages,employees,avg_annual_wage
C3938,"Pueblo, CO",3491,60950,721,Accommodation,FALSE,30,2170477,442,19627.52
C3938,"Pueblo, CO",3491,60950,722,Food services and drinking places,FALSE,303,22848734,5435,16816
C3938,"Pueblo, CO",3491,60950,811,Repair and maintenance,FALSE,110,4838899,515,37559.37
C3938,"Pueblo, CO",3491,60950,812,Personal and laundry services,FALSE,75,3667919,552,26563.08
C3938,"Pueblo, CO",3491,60950,813,Membership associations and organizations,FALSE,44,1968413,305,25843.5
C3938,"Pueblo, CO",3491,60950,814,Private households,FALSE,85,618071,131,18824.5
C3938,"Pueblo, CO",3491,60950,999,Unclassified,FALSE,2,81053,2,162106
C3946,"Punta Gorda, FL",4833,49421,111,Crop production,FALSE,16,3142964,400,31403.47
C3946,"Punta Gorda, FL",4833,49421,112,Animal production and aquaculture,FALSE,7,703266,56,50233.29
C3946,"Punta Gorda, FL",4833,49421,114,"Fishing, hunting and trapping",TRUE,1,,,
C3946,"Punta Gorda, FL",4833,49421,115,Agriculture and forestry support activities,TRUE,8,,,
C3946,"Punta Gorda, FL",4833,49421,212,"Mining, except oil and gas",TRUE,3,,,
C3946,"Punta Gorda, FL",4833,49421,213,Support activities for mining,TRUE,1,,,
C3946,"Punta Gorda, FL",4833,49421,221,Utilities,FALSE,14,871239,66,53070.4
C3946,"Punta Gorda, FL",4833,49421,236,Construction of buildings,FALSE,192,5450440,615,35430.81
C3946,"Punta Gorda, FL",4833,49421,237,Heavy and civil engineering construction,FALSE,34,4947679,397,49808.85
C3946,"Punta Gorda, FL",4833,49421,238,Specialty trade contractors,FALSE,528,31704534,3118,40677.26
C3946,"Punta Gorda, FL",4833,49421,311,Food manufacturing,TRUE,1,,,
C3946,"Punta Gorda, FL",4833,49421,312,Beverage and tobacco product manufacturing,TRUE,2,,,
C3946,"Punta Gorda, FL",4833,49421,313,Textile mills,TRUE,1,,,
C3946,"Punta Gorda, FL",4833,49421,314,Textile product mills,FALSE,5,226017,38,24001.81
C3946,"Punta Gorda, FL",4833,49421,321,Wood product manufacturing,TRUE,4,,,
C3946,"Punta Gorda, FL",4833,49421,323,Printing and related support activities,FALSE,10,662284,68,38957.88
C3946,"Punta Gorda, FL",4833,49421,324,Petroleum and coal products manufacturing,TRUE,1,,,
C3946,"Punta Gorda, FL",4833,49421,325,Chemical manufacturing,FALSE,5,72402,4,72402
C3946,"Punta Gorda, FL",4833,49421,327,Nonmetallic mineral product manufacturing,FALSE,15,1599061,133,47971.83
C3946,"Punta Gorda, FL",4833,49421,331,Primary metal manufacturing,TRUE,0,,,
C3946,"Punta Gorda, FL",4833,49421,332,Fabricated metal product manufacturing,FALSE,20,1734382,154,45048.88
C3946,"Punta Gorda, FL",4833,49421,333,Machinery manufacturing,FALSE,11,1884336,111,67700.69
C3946,"Punta Gorda, FL",4833,49421,334,Computer and electronic product manufacturing,TRUE,3,,,
C3946,"Punta Gorda, FL",4833,49421,335,Electrical equipment and appliance mfg.,TRUE,2,,,
C3946,"Punta Gorda, FL",4833,49421,336,Transportation equipment manufacturing,FALSE,5,297535,28,43017.11
C3946,"Punta Gorda, FL",4833,49421,337,Furniture and related product manufacturing,FALSE,8,426735,50,33912.72
C3946,"Punta Gorda, FL",4833,49421,339,Miscellaneous manufacturing,FALSE,20,736326,65,45545.94
C3946,"Punta Gorda, FL",4833,49421,423,"Merchant wholesalers, durable goods",FALSE,92,6428479,432,59568.92
C3946,"Punta Gorda, FL",4833,49421,424,"Merchant wholesalers, nondurable goods",FALSE,33,3047408,251,48564.27
C3946,"Punta Gorda, FL",4833,49421,425,Electronic markets and agents and brokers,FALSE,28,888186,72,49116.28
C3946,"Punta Gorda, FL",4833,49421,441,Motor vehicle and parts dealers,FALSE,88,16617823,1348,49311.05
C3946,"Punta Gorda, FL",4833,49421,442,Furniture and home furnishings stores,FALSE,42,2633028,363,29040.75
C3946,"Punta Gorda, FL",4833,49421,443,Electronics and appliance stores,FALSE,27,1821082,229,31809.29
C3946,"Punta Gorda, FL",4833,49421,444,Building material and garden supply stores,FALSE,62,7413915,1067,27793.5
C3946,"Punta Gorda, FL",4833,49421,445,Food and beverage stores,FALSE,59,10839207,1926,22515.23
C3946,"Punta Gorda, FL",4833,49421,446,Health and personal care stores,FALSE,70,5053511,509,39713.25
C3946,"Punta Gorda, FL",4833,49421,447,Gasoline stations,FALSE,44,2004702,344,23310.49
C3946,"Punta Gorda, FL",4833,49421,448,Clothing and clothing accessories stores,FALSE,57,2737824,741,14785.73
C3946,"Punta Gorda, FL",4833,49421,451,"Sports, hobby, music instrument, book stores",FALSE,35,722722,158,18335.44
C3946,"Punta Gorda, FL",4833,49421,452,General merchandise stores,FALSE,32,14680841,2267,25899.75
C3946,"Punta Gorda, FL",4833,49421,453,Miscellaneous store retailers,FALSE,90,3370662,652,20678.91
C3946,"Punta Gorda, FL",4833,49421,454,Nonstore retailers,FALSE,38,1679683,159,42167.77
C3946,"Punta Gorda, FL",4833,49421,481,Air transportation,TRUE,6,,,
C3946,"Punta Gorda, FL",4833,49421,483,Water transportation,FALSE,11,199470,28,28495.71
C3946,"Punta Gorda, FL",4833,49421,484,Truck transportation,FALSE,28,1924452,146,52604.61
C3946,"Punta Gorda, FL",4833,49421,485,Transit and ground passenger transportation,TRUE,5,,,
C3946,"Punta Gorda, FL",4833,49421,487,Scenic and sightseeing transportation,FALSE,7,213816,37,23115.24
C3946,"Punta Gorda, FL",4833,49421,488,Support activities for transportation,FALSE,25,2626075,308,34104.87
C3946,"Punta Gorda, FL",4833,49421,492,Couriers and messengers,FALSE,11,2751048,228,48264
C3946,"Punta Gorda, FL",4833,49421,493,Warehousing and storage,TRUE,2,,,
C3946,"Punta Gorda, FL",4833,49421,511,"Publishing industries, except internet",FALSE,13,1602379,201,31888.14
C3946,"Punta Gorda, FL",4833,49421,512,Motion picture and sound recording industries,TRUE,3,,,
C3946,"Punta Gorda, FL",4833,49421,515,"Broadcasting, except internet",FALSE,4,279265,25,44682.4
C3946,"Punta Gorda, FL",4833,49421,517,Telecommunications,FALSE,17,1613130,88,73602.89
C3946,"Punta Gorda, FL",4833,49421,518,"Data processing, hosting and related services",TRUE,8,,,
C3946,"Punta Gorda, FL",4833,49421,519,Other information services,FALSE,12,256230,27,37960
C3946,"Punta Gorda, FL",4833,49421,522,Credit intermediation and related activities,FALSE,72,6651343,549,48432.11
C3946,"Punta Gorda, FL",4833,49421,523,"Securities, commodity contracts, investments",TRUE,50,,,
C3946,"Punta Gorda, FL",4833,49421,524,Insurance carriers and related activities,FALSE,82,5816065,366,63505.71
C3946,"Punta Gorda, FL",4833,49421,525,"Funds, trusts, and other financial vehicles",TRUE,1,,,
C3946,"Punta Gorda, FL",4833,49421,531,Real estate,FALSE,287,8068248,896,36018.96
C3946,"Punta Gorda, FL",4833,49421,532,Rental and leasing services,FALSE,28,1693345,222,30556.6
C3946,"Punta Gorda, FL",4833,49421,541,Professional and technical services,FALSE,497,30181375,1759,68633.03
C3946,"Punta Gorda, FL",4833,49421,551,Management of companies and enterprises,FALSE,19,2551556,74,137303.46
C3946,"Punta Gorda, FL",4833,49421,561,Administrative and support services,FALSE,363,18044156,2036,35450.21
C3946,"Punta Gorda, FL",4833,49421,562,Waste management and remediation services,FALSE,19,2563863,181,56764.49
